이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,고객 세그먼트,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래 방식,제품 구매 빈도,제품 구매 경로,제품 출시년월,Cluster
강주온,2002-03-04,23,남,01065028753,janisi@himedia.co.kr,인천광역시 남동구 구월동 88-10,14798,2023-04-01,일반,준중형 세단,Avante (CN7 N),0,2024-04-04,35170000,카드,1,오프라인,2020-05,6
김경수,1983-01-02,42,남,01011112222,kimkyoungsoo31@himedia.co.kr,광주광역시 서구 치평동 14-7,kyoungsoo031,2025-02-09,vip,준대형 세단,G80 (RG3),0,2025-02-10,85790000,카드,5,오프라인,2020-03,0
김다은,1999-05-02,26,여,01067890123,kimdaeun26@himedia.co.kr,부산광역시 해운대구 우동 101-12,daeun026,2025-02-28,신규,중형 suv,NEXO (FE),1,2025-03-10,69500000,현금,1,오프라인,2018-01,3
김민수,1960-07-01,65,남,01012345678,kimminsu1@himedia.co.kr,전라남도 목포시 부주동 77-8,minsu001,2023-04-28,일반, 중형 suv,Santa-Fe ™,0,2023-05-01,34920000,현금,1,오프라인,2018-01,2
김승현,1970-03-02,55,남,01001234567,kimseunghyun20@himedia.co.kr,경기도 수원시 영통구 원천동 12-34,seunghyun020,2023-09-18,이탈가능,중형 세단,G70 (IK),0,2023-10-01,50230000,카드,1,오프라인,2017-09,2
김영철,1959-08-03,66,남,01067890123,kimyoungcheol6@himedia.co.kr,울산광역시 남구 달동 23-5,youngcheol006,2023-02-01,일반,중형 세단,G70 (IK),0,2023-02-01,50230000,카드,1,오프라인,2017-09,2
김윤희,1998-01-02,27,여,01023456789,leesujin2@himedia.co.kr,경기도 수원시 영통구 원천동 12-34,sujin002,2023-07-11,일반,준중형 해치백,IONIQ (AE EV),1,2023-07-18,44400000,카드,1,온라인,2016-01,7
김재원,1976-01-06,49,남,01012345678,kimjaewon40@himedia.co.kr,서울특별시 종로구 청운동 67-89,jaewon040,2025-12-01,신규,준중형 세단,Avante (CN7 HEV),1,2025-12-01,27830000,카드,1,오프라인,2020-07,7
김진수,1980-04-06,45,남,01067899876,kimjinsu35@himedia.co.kr,인천광역시 남동구 구월동 88-10,jinsu035,2023-01-01,일반,준중형 해치백,IONIQ (AE EV),1,2023-01-03,44400000,카드,1,오프라인,2016-01,7
박민정,1977-08-05,48,여,01089012345,parkminjeong8@himedia.co.kr,서울특별시 종로구 청운동 67-89,minjeong008,2024-04-01,일반, 중형 세단,IONIQ 6 (CE),1,2024-04-06,61820000,카드,1,오프라인,2022-06,7
박수연,1990-11-24,35,여,01023455432,parksuyeon33@himedia.co.kr,경상남도 창원시 의창구 봉곡동 48-6,suyeon033,2024-11-08,vip,대형 세단,G90 (HI),0,2024-12-03,99670000,현금,5,오프라인,2022-03,0
박영희,1988-05-07,37,여,01034567890,parkyeonghee3@himedia.co.kr,전라북도 전주시 완산구 덕진동 33-7,yeonghee003,2023-06-07,일반, 중형 suv,Santa-Fe (MX5 PHEV),1,2023-07-07,45980000,현금,2,오프라인,2022-06,7
박준석,1997-08-05,28,남,01089012345,parkjoonseok28@himedia.co.kr,충청북도 청주시 상당구 낙실동 9-1,joonseok028,2024-12-12,일반,준중형 세단,Avante (CN7 N),0,2025-01-02,35170000,현금,1,오프라인,2020-05,6
박지수,1996-01-02,29,여,01023456789,parkjisu22@himedia.co.kr,광주광역시 서구 치평동 14-7,jisu022,2024-01-13,일반, 중형 suv,Santa-Fe ™,0,2024-02-03,34920000,현금,2,오프라인,2018-01,6
박찬우,1980-02-04,45,남,01089012345,parkchanwoo37@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,chanwoo037,2023-06-28,일반,준중형 세단,Avante (CN7 N),0,2023-08-07,35170000,카드,3,오프라인,2020-05,6
이동훈,1985-01-07,40,남,01056789012,leedonghoon15@himedia.co.kr,울산광역시 남구 달동 23-5,donghoon015,2024-04-18,일반,준대형 세단,Grandeur (GN7 HEV),1,2024-05-06,52410000,카드,1,오프라인,2022-01,7
이상미,1966-07-01,59,여,01023456789,leesangmi41@himedia.co.kr,경상남도 창원시 의창구 봉곡동 48-6,sangmi041,2024-09-18,일반, 중형 suv,Santa-Fe ™,0,2024-10-03,34920000,카드,1,오프라인,2018-01,2
