이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,고객 세그먼트,차량구분,구매한 제품,제품 구매 날짜,거래 금액,거래 방식,제품 구매 빈도,제품 구매 경로,제품 출시년월,Cluster,시구
강주온,2002-03-04,23,남,1065028753,janisi@himedia.co.kr,인천광역시 남동구 구월동 88-10,14798,2023-04-01,일반,준중형 세단,Avante (CN7 N),2024-04-04,35170000,카드,1,오프라인,2020-05,6,인천광역시 남동구
김경수,1983-01-02,42,남,1011112222,kimkyoungsoo31@himedia.co.kr,광주광역시 서구 치평동 14-7,kyoungsoo031,2025-02-09,vip,준대형 세단,G80 (RG3),2025-02-10,85790000,카드,5,오프라인,2020-03,0,광주광역시 서구
김다은,1999-05-02,26,여,1067890123,kimdaeun26@himedia.co.kr,부산광역시 해운대구 우동 101-12,daeun026,2025-02-28,신규,중형 suv,NEXO (FE),2025-03-10,69500000,현금,1,오프라인,2018-01,3,부산광역시 해운대구
김민수,1960-07-01,65,남,1012345678,kimminsu1@himedia.co.kr,전라남도 목포시 부주동 77-8,minsu001,2023-04-28,일반, 중형 suv,Santa-Fe ™,2023-05-01,34920000,현금,1,오프라인,2018-01,2,전라남도 목포시
김승현,1970-03-02,55,남,1001234567,kimseunghyun20@himedia.co.kr,경기도 수원시 영통구 원천동 12-34,seunghyun020,2023-09-18,이탈가능,중형 세단,G70 (IK),2023-10-01,50230000,카드,1,오프라인,2017-09,2,경기도 수원시
김영철,1959-08-03,66,남,1067890123,kimyoungcheol6@himedia.co.kr,울산광역시 남구 달동 23-5,youngcheol006,2023-02-01,일반,중형 세단,G70 (IK),2023-02-01,50230000,카드,1,오프라인,2017-09,2,울산광역시 남구
김윤희,1998-01-02,27,여,1023456789,leesujin2@himedia.co.kr,경기도 수원시 영통구 원천동 12-34,sujin002,2023-07-11,일반,준중형 해치백,IONIQ (AE EV),2023-07-18,44400000,카드,1,온라인,2016-01,7,경기도 수원시
김재원,1976-01-06,49,남,1012345678,kimjaewon40@himedia.co.kr,서울특별시 종로구 청운동 67-89,jaewon040,2025-12-01,신규,준중형 세단,Avante (CN7 HEV),2025-12-01,27830000,카드,1,오프라인,2020-07,7,서울특별시 종로구
김진수,1980-04-06,45,남,1067899876,kimjinsu35@himedia.co.kr,인천광역시 남동구 구월동 88-10,jinsu035,2023-01-01,일반,준중형 해치백,IONIQ (AE EV),2023-01-03,44400000,카드,1,오프라인,2016-01,7,인천광역시 남동구
박민정,1977-08-05,48,여,1089012345,parkminjeong8@himedia.co.kr,서울특별시 종로구 청운동 67-89,minjeong008,2024-04-01,일반, 중형 세단,IONIQ 6 (CE),2024-04-06,61820000,카드,1,오프라인,2022-06,7,서울특별시 종로구
박수연,1990-11-24,35,여,1023455432,parksuyeon33@himedia.co.kr,경상남도 창원시 의창구 봉곡동 48-6,suyeon033,2024-11-08,vip,대형 세단,G90 (HI),2024-12-03,99670000,현금,5,오프라인,2022-03,0,경상남도 창원시
박영희,1988-05-07,37,여,1034567890,parkyeonghee3@himedia.co.kr,전라북도 전주시 완산구 덕진동 33-7,yeonghee003,2023-06-07,일반, 중형 suv,Santa-Fe (MX5 PHEV),2023-07-07,45980000,현금,2,오프라인,2022-06,7,전라북도 전주시
박준석,1997-08-05,28,남,1089012345,parkjoonseok28@himedia.co.kr,충청북도 청주시 상당구 낙실동 9-1,joonseok028,2024-12-12,일반,준중형 세단,Avante (CN7 N),2025-01-02,35170000,현금,1,오프라인,2020-05,6,충청북도 청주시
박지수,1996-01-02,29,여,1023456789,parkjisu22@himedia.co.kr,광주광역시 서구 치평동 14-7,jisu022,2024-01-13,일반, 중형 suv,Santa-Fe ™,2024-02-03,34920000,현금,2,오프라인,2018-01,6,광주광역시 서구
박찬우,1980-02-04,45,남,1089012345,parkchanwoo37@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,chanwoo037,2023-06-28,일반,준중형 세단,Avante (CN7 N),2023-08-07,35170000,카드,3,오프라인,2020-05,6,경기도 성남시
이동훈,1985-01-07,40,남,1056789012,leedonghoon15@himedia.co.kr,울산광역시 남구 달동 23-5,donghoon015,2024-04-18,일반,준대형 세단,Grandeur (GN7 HEV),2024-05-06,52410000,카드,1,오프라인,2022-01,7,울산광역시 남구
이상미,1966-07-01,59,여,1023456789,leesangmi41@himedia.co.kr,경상남도 창원시 의창구 봉곡동 48-6,sangmi041,2024-09-18,일반, 중형 suv,Santa-Fe ™,2024-10-03,34920000,카드,1,오프라인,2018-01,2,경상남도 창원시
이상훈,1974-01-02,51,남,1045678901,leesanghoon24@himedia.co.kr,서울특별시 종로구 청운동 67-89,sanghoon024,2024-01-13,일반,준중형 suv,Tucson (NX4 PHEV),2024-02-27,39500000,카드,1,오프라인,2021-05,7,서울특별시 종로구
이상희,1972-06-01,53,남,1023456789,leeshanghee12@himedia.co.kr,경상북도 포항시 남구 대도동 19-2,shanghee012,2023-04-28,일반,준대형 세단,Grandeur (GN7 HEV),2023-05-07,52410000,카드,1,오프라인,2022-01,7,경상북도 포항시
이은지,1988-03-06,37,남,1078901234,leeunji27@himedia.co.kr,부산광역시 해운대구 우동 101-12,unji027,2024-08-11,일반,준대형 세단,Grandeur (GN7 HEV),2024-08-15,52410000,카드,1,오프라인,2022-01,7,부산광역시 해운대구
이정민,1984-05-06,41,남,1090123456,leejeongmin19@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,jeongmin019,2024-01-07,일반,중형 세단,G70 (IK),2024-01-15,50230000,카드,1,오프라인,2017-09,6,경기도 성남시
이주호,1987-02-03,38,남,1012344321,leejooho32@himedia.co.kr,서울특별시 종로구 청운동 67-89,jooho032,2024-10-19,vip,대형 세단,G90 (RS4),2024-12-16,134370000,카드,5,오프라인,2022-03,0,서울특별시 종로구
이하늘,1989-04-03,36,남,1078901234,leehaneul36@himedia.co.kr,광주광역시 서구 치평동 14-7,haneul036,2024-09-22,일반, 중형 suv,Santa-Fe ™,2024-09-25,34920000,카드,3,오프라인,2018-01,6,광주광역시 서구
이현주,1972-05-02,53,여,1078904754,leeheonjoo7@himedia.co.kr,전라북도 전주시 완산구 덕진동 33-7,heonjoo007,2025-01-01,신규,준중형 해치백,IONIQ (AE EV),2025-01-11,44400000,카드,2,오프라인,2016-01,7,전라북도 전주시
정미래,1971-06-04,54,여,1090123456,jeongmirae29@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,mirae029,2024-02-28,일반,준대형 세단,Grandeur (GN7 HEV),2024-04-22,52410000,카드,2,오프라인,2022-01,7,경기도 성남시
정미선,1975-02-04,50,남,1089012345,jeongmiseon18@himedia.co.kr,충청북도 청주시 상당구 낙실동 9-1,miseon018,2023-06-04,일반,준중형 suv,Tucson (NX4 PHEV),2023-07-08,39500000,카드,1,오프라인,2021-05,7,충청북도 청주시
정상훈,1996-05-02,29,남,1090123456,jeongsanghoon38@himedia.co.kr,경상북도 포항시 남구 대도동 19-2,sanghoon038,2023-08-17,일반,준대형 세단,Grandeur (GN7 HEV),2023-08-19,52410000,카드,1,오프라인,2022-01,7,경상북도 포항시
정영철,1985-04-02,40,남,1056789012,jeongyoungcheol25@himedia.co.kr,서울특별시 강남구 역삼동 123-45,youngcheol025,2024-04-08,일반,준대형 suv,Palisade (LX2),2024-05-16,59460000,카드,1,오프라인,2018-12,6,서울특별시 강남구
정은혜,2001-04-06,24,여,1056788765,jeongeunhye100@himedia.co.kr,서울특별시 종로구 청운동 67-89,eunhye100,2024-08-13,일반,준중형 세단,Avante (CN7 N),2024-09-11,35170000,카드,1,오프라인,2020-05,6,서울특별시 종로구
정지우,1983-02-04,42,남,1045678901,jeongjiwoo14@himedia.co.kr,경기도 수원시 영통구 원천동 12-34,jiwoo014,2024-07-20,일반,준중형 해치백,i30 (PD),2024-07-28,25560000,카드,1,오프라인,2017-03,6,경기도 수원시
정태수,1962-05-06,63,남,1001234567,jeongtaesu10@himedia.co.kr,서울특별시 종로구 청운동 67-89,taesu010,2024-11-18,일반,준대형 세단,Grandeur (GN7 HEV),2024-12-25,52410000,카드,1,오프라인,2022-01,7,서울특별시 종로구
정하윤,1999-07-07,26,여,1056789012,jeonghayun5@himedia.co.kr,충청남도 천안시 동남구 성성동 22-3,hayun005,2024-11-11,일반,준중형 해치백,i30 (PD),2024-11-18,25560000,카드,2,오프라인,2017-03,6,충청남도 천안시
최강호,1992-04-05,33,남,1078901234,choikangho17@himedia.co.kr,울산광역시 남구 달동 23-5,kangho017,2024-01-10,일반,준중형 해치백,IONIQ (AE EV),2024-01-16,44400000,카드,1,온라인,2016-01,7,울산광역시 남구
최민우,1977-05-02,48,남,1034567890,choiminwoo13@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,minwoo013,2024-05-11,일반,준대형 suv,Palisade (LX2),2024-06-28,59460000,카드,1,오프라인,2018-12,6,경기도 성남시
최영호,1966-03-02,59,남,1034567890,choiyeongho23@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,yeongho023,2025-01-01,신규,준중형 세단,Avante (CN7 N),2025-01-11,35170000,카드,1,오프라인,2020-05,2,경기도 성남시
최지훈,1978-09-05,47,남,1045678901,choijihun4@himedia.co.kr,충청남도 천안시 동남구 성성동 22-3,jihun004,2023-03-28,일반,준중형 해치백,i30 (PD),2023-04-25,25560000,카드,1,오프라인,2017-03,6,충청남도 천안시
한서희,1975-03-05,50,여,1012345678,kimhana11@himedia.co.kr,서울특별시 종로구 청운동 67-89,hana011,2024-05-18,일반,준중형 해치백,IONIQ (AE EV),2024-06-02,44400000,카드,1,오프라인,2016-01,7,서울특별시 종로구
한예빈,1997-08-01,28,여,1067890123,parksoyeong16@himedia.co.kr,충청북도 청주시 상당구 낙실동 9-1,soyeong016,2024-06-28,일반, 중형 suv,Santa-Fe ™,2024-07-08,34920000,카드,1,오프라인,2018-01,6,충청북도 청주시
