이름 (Name),생년월일 (Date of Birth),성별 (Gender),휴대폰번호 (Phone Number),이메일 (Email),주소 (Address),아이디 (User ID),가입일 (Registration Date),차량구분(vehicle types),구매한 제품 (Purchased Product),제품 구매 날짜 (Purchase Date),거래 금액 (Transaction Amount),거래 방식 (Transaction Method),제품 구매 빈도 (Purchase Frequency),제품 구매 경로 (Purchase Path),연령대,제품 출시년월 (Launch Date),Cluster
강주온,2002-03-04,남,010-6502-8753,janisi@himedia.co.kr,인천광역시 남동구 구월동 88-10,14798,2023-04-01,준중형 세단,Avante (CN7 N),2024-04-04,35170000,카드,1,오프라인,23,2020-05,8
김경수,1983-01-02,남,010-1111-2222,kimkyoungsoo31@himedia.co.kr,광주광역시 서구 치평동 14-7,kyoungsoo031,2025-02-09,준대형 세단,G80 (RG3),2025-02-10,85790000,카드,5,오프라인,42,2020-03,3
김다은,1999-05-02,여,010-6789-0123,kimdaeun26@himedia.co.kr,부산광역시 해운대구 우동 101-12,daeun026,2025-02-28,중형 suv,NEXO (FE),2025-03-10,69500000,현금,1,오프라인,26,2018-01,7
김민수,1960-07-01,남,010-1234-5678,kimminsu1@himedia.co.kr,전라남도 목포시 부주동 77-8,minsu001,2023-04-28, 중형 suv,Santa-Fe ™,2023-05-01,34920000,현금,1,오프라인,65,2018-01,6
김승현,1970-03-02,남,010-0123-4567,kimseunghyun20@himedia.co.kr,경기도 수원시 영통구 원천동 12-34,seunghyun020,2023-09-18,중형 세단,G70 (IK),2023-10-01,50230000,카드,1,오프라인,55,2017-09,8
김영철,1959-08-03,남,010-6789-0123,kimyoungcheol6@himedia.co.kr,울산광역시 남구 달동 23-5,youngcheol006,2023-02-01,중형 세단,G70 (IK),2023-02-01,50230000,카드,1,오프라인,66,2017-09,8
김윤희,1998-01-02,여,010-2345-6789,leesujin2@himedia.co.kr,경기도 수원시 영통구 원천동 12-34,sujin002,2023-07-11,준중형 해치백,IONIQ (AE EV),2023-07-18,44400000,카드,1,온라인,27,2016-01,8
김재원,1976-01-06,남,010-1234-5678,kimjaewon40@himedia.co.kr,서울특별시 종로구 청운동 67-89,jaewon040,2025-12-01,준중형 세단,Avante (CN7 HEV),2025-12-01,27830000,카드,1,오프라인,49,2020-07,8
김진수,1980-04-06,남,010-6789-9876,kimjinsu35@himedia.co.kr,인천광역시 남동구 구월동 88-10,jinsu035,2023-01-01,준중형 해치백,IONIQ (AE EV),2023-01-03,44400000,카드,1,오프라인,45,2016-01,8
박민정,1977-08-05,여,010-8901-2345,parkminjeong8@himedia.co.kr,서울특별시 종로구 청운동 67-89,minjeong008,2024-04-01, 중형 세단,IONIQ 6 (CE),2024-04-06,61820000,카드,1,오프라인,48,2022-06,8
박수연,1990-11-24,여,010-2345-5432,parksuyeon33@himedia.co.kr,경상남도 창원시 의창구 봉곡동 48-6,suyeon033,2024-11-08,대형 세단,G90 (HI),2024-12-03,99670000,현금,5,오프라인,35,2022-03,5
박영희,1988-05-07,여,010-3456-7890,parkyeonghee3@himedia.co.kr,전라북도 전주시 완산구 덕진동 33-7,yeonghee003,2023-06-07, 중형 suv,Santa-Fe (MX5 PHEV),2023-07-07,45980000,현금,2,오프라인,37,2022-06,6
박준석,1997-08-05,남,010-8901-2345,parkjoonseok28@himedia.co.kr,충청북도 청주시 상당구 낙실동 9-1,joonseok028,2024-12-12,준중형 세단,Avante (CN7 N),2025-01-02,35170000,현금,1,오프라인,28,2020-05,8
박지수,1996-01-02,여,010-2345-6789,parkjisu22@himedia.co.kr,광주광역시 서구 치평동 14-7,jisu022,2024-01-13, 중형 suv,Santa-Fe ™,2024-02-03,34920000,현금,2,오프라인,29,2018-01,6
박찬우,1980-02-04,남,010-8901-2345,parkchanwoo37@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,chanwoo037,2023-06-28,준중형 세단,Avante (CN7 N),2023-08-07,35170000,카드,3,오프라인,45,2020-05,1
이동훈,1985-01-07,남,010-5678-9012,leedonghoon15@himedia.co.kr,울산광역시 남구 달동 23-5,donghoon015,2024-04-18,준대형 세단,Grandeur (GN7 HEV),2024-05-06,52410000,카드,1,오프라인,40,2022-01,8
이상미,1966-07-01,여,010-2345-6789,leesangmi41@himedia.co.kr,경상남도 창원시 의창구 봉곡동 48-6,sangmi041,2024-09-18, 중형 suv,Santa-Fe ™,2024-10-03,34920000,카드,1,오프라인,59,2018-01,1
이상훈,1974-01-02,남,010-4567-8901,leesanghoon24@himedia.co.kr,서울특별시 종로구 청운동 67-89,sanghoon024,2024-01-13,준중형 suv,Tucson (NX4 PHEV),2024-02-27,39500000,카드,1,오프라인,51,2021-05,8
이상희,1972-06-01,남,010-2345-6789,leeshanghee12@himedia.co.kr,경상북도 포항시 남구 대도동 19-2,shanghee012,2023-04-28,준대형 세단,Grandeur (GN7 HEV),2023-05-07,52410000,카드,1,오프라인,53,2022-01,8
이은지,1988-03-06,남,010-7890-1234,leeunji27@himedia.co.kr,부산광역시 해운대구 우동 101-12,unji027,2024-08-11,준대형 세단,Grandeur (GN7 HEV),2024-08-15,52410000,카드,1,오프라인,37,2022-01,8
이정민,1984-05-06,남,010-9012-3456,leejeongmin19@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,jeongmin019,2024-01-07,중형 세단,G70 (IK),2024-01-15,50230000,카드,1,오프라인,41,2017-09,8
이주호,1987-02-03,남,010-1234-4321,leejooho32@himedia.co.kr,서울특별시 종로구 청운동 67-89,jooho032,2024-10-19,대형 세단,G90 (RS4),2024-12-16,134370000,카드,5,오프라인,38,2022-03,3
이하늘,1989-04-03,남,010-7890-1234,leehaneul36@himedia.co.kr,광주광역시 서구 치평동 14-7,haneul036,2024-09-22, 중형 suv,Santa-Fe ™,2024-09-25,34920000,카드,3,오프라인,36,2018-01,8
이현주,1972-05-02,여,010-7890-4754,leeheonjoo7@himedia.co.kr,전라북도 전주시 완산구 덕진동 33-7,heonjoo007,2025-01-01,준중형 해치백,IONIQ (AE EV),2025-01-11,44400000,카드,2,오프라인,53,2016-01,1
정미래,1971-06-04,여,010-9012-3456,jeongmirae29@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,mirae029,2024-02-28,준대형 세단,Grandeur (GN7 HEV),2024-04-22,52410000,카드,2,오프라인,54,2022-01,1
정미선,1975-02-04,남,010-8901-2345,jeongmiseon18@himedia.co.kr,충청북도 청주시 상당구 낙실동 9-1,miseon018,2023-06-04,준중형 suv,Tucson (NX4 PHEV),2023-07-08,39500000,카드,1,오프라인,50,2021-05,8
정상훈,1996-05-02,남,010-9012-3456,jeongsanghoon38@himedia.co.kr,경상북도 포항시 남구 대도동 19-2,sanghoon038,2023-08-17,준대형 세단,Grandeur (GN7 HEV),2023-08-19,52410000,카드,1,오프라인,29,2022-01,8
정영철,1985-04-02,남,010-5678-9012,jeongyoungcheol25@himedia.co.kr,서울특별시 강남구 역삼동 123-45,youngcheol025,2024-04-08,준대형 suv,Palisade (LX2),2024-05-16,59460000,카드,1,오프라인,40,2018-12,8
정은혜,2001-04-06,여,010-5678-8765,jeongeunhye100@himedia.co.kr,서울특별시 종로구 청운동 67-89,eunhye100,2024-08-13,준중형 세단,Avante (CN7 N),2024-09-11,35170000,카드,1,오프라인,24,2020-05,8
정지우,1983-02-04,남,010-4567-8901,jeongjiwoo14@himedia.co.kr,경기도 수원시 영통구 원천동 12-34,jiwoo014,2024-07-20,준중형 해치백,i30 (PD),2024-07-28,25560000,카드,1,오프라인,42,2017-03,8
정태수,1962-05-06,남,010-0123-4567,jeongtaesu10@himedia.co.kr,서울특별시 종로구 청운동 67-89,taesu010,2024-11-18,준대형 세단,Grandeur (GN7 HEV),2024-12-25,52410000,카드,1,오프라인,63,2022-01,8
정하윤,1999-07-07,여,010-5678-9012,jeonghayun5@himedia.co.kr,충청남도 천안시 동남구 성성동 22-3,hayun005,2024-11-11,준중형 해치백,i30 (PD),2024-11-18,25560000,카드,2,오프라인,26,2017-03,8
최강호,1992-04-05,남,010-7890-1234,choikangho17@himedia.co.kr,울산광역시 남구 달동 23-5,kangho017,2024-01-10,준중형 해치백,IONIQ (AE EV),2024-01-16,44400000,카드,1,온라인,33,2016-01,8
최민우,1977-05-02,남,010-3456-7890,choiminwoo13@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,minwoo013,2024-05-11,준대형 suv,Palisade (LX2),2024-06-28,59460000,카드,1,오프라인,48,2018-12,8
최영호,1966-03-02,남,010-3456-7890,choiyeongho23@himedia.co.kr,경기도 성남시 분당구 정자동 56-78,yeongho023,2025-01-01,준중형 세단,Avante (CN7 N),2025-01-11,35170000,카드,1,오프라인,59,2020-05,8
최지훈,1978-09-05,남,010-4567-8901,choijihun4@himedia.co.kr,충청남도 천안시 동남구 성성동 22-3,jihun004,2023-03-28,준중형 해치백,i30 (PD),2023-04-25,25560000,카드,1,오프라인,47,2017-03,8
한서희,1975-03-05,여,010-1234-5678,kimhana11@himedia.co.kr,서울특별시 종로구 청운동 67-89,hana011,2024-05-18,준중형 해치백,IONIQ (AE EV),2024-06-02,44400000,카드,1,오프라인,50,2016-01,8
한예빈,1997-08-01,여,010-6789-0123,parksoyeong16@himedia.co.kr,충청북도 청주시 상당구 낙실동 9-1,soyeong016,2024-06-28, 중형 suv,Santa-Fe ™,2024-07-08,34920000,카드,1,오프라인,28,2018-01,8
홍상훈,1994-12-01,남,010-0123-4567,hongsanghoon30@himedia.co.kr,부산광역시 해운대구 우동 101-12,sanghoon030,2024-02-03,준중형 해치백,i30 (PD),2024-02-22,25560000,카드,1,오프라인,31,2017-03,8
홍성우,1999-06-02,남,010-1234-5678,honggildong21@himedia.co.kr,울산광역시 남구 달동 23-5,gildong021,2023-08-18,준대형 suv,Palisade (LX2),2023-09-30,59460000,카드,2,온라인,26,2018-12,8
홍수진,1970-03-09,남,010-0123-4567,hongsujin39@himedia.co.kr,인천광역시 남동구 구월동 88-10,sujin039,2023-03-03,준대형 세단,Grandeur (GN7 HEV),2023-03-03,52410000,카드,1,오프라인,55,2022-01,8
홍지민,1980-11-10,남,010-9012-3456,hongjimin9@himedia.co.kr,경상북도 포항시 남구 대도동 19-2,jimin009,2024-07-07,준대형 세단,Grandeur (GN7 HEV),2024-07-08,52410000,카드,1,온라인,45,2022-01,8
김하윤,1960-03-12,남,054-555-6645,sunoggim@cagim.kr,부산광역시 해운대구 우동 101-12,seonyeongmun,2024-09-26,준대형 세단,Avante (CN7 N),2023-05-04,82080000,카드,2,오프라인,65,2020-05,4
이지원,1959-11-17,여,032-566-6729,lju@nate.com,경기도 수원시 영통구 원천동 12-34,gimgyeongja,2022-03-22,중형 suv,Santa-Fe ™,2024-07-04,72110000,카드,1,온라인,66,2018-01,4
박미영,1980-11-09,남,041-065-8495,eungyeonggim@hanmail.net,충청남도 천안시 동남구 성성동 22-3,gyun,2024-05-09,대형 suv,G80 (RG3),2024-01-07,38660000,카드,1,온라인,45,2020-03,8
이정수,1996-12-13,남,052-162-4161,rcoe@daum.net,울산광역시 남구 달동 23-5,namsumin,2023-05-25,준중형 세단,Santa-Fe ™,2024-07-04,37700000,현금,5,온라인,29,2018-01,2
최현지,1994-06-26,남,070-0392-0424,yeweon24@ju.kr,대구광역시 수성구 범어동 55-3,jihungim,2022-07-22,준대형 세단,Avante (CN7 N),2023-05-22,79860000,카드,1,오프라인,31,2020-05,7
김도현,1987-01-09,남,032-127-1765,jeongsig00@jusighoesa.com,경상북도 포항시 남구 대도동 19-2,sumin33,2024-09-27,준중형 세단,NEXO (FE),2023-06-17,49930000,현금,4,오프라인,38,2018-01,2
송성민,1976-01-24,여,041-012-7092,gangeunji@yuhanhoesa.net,경기도 성남시 분당구 정자동 56-78,bagogsun,2022-11-05,대형 suv,NEXO (FE),2023-08-27,54910000,현금,4,온라인,49,2018-01,0
김민지,1998-01-27,남,041-688-2563,ki@live.com,경상북도 포항시 남구 대도동 19-2,jia18,2024-09-22,대형 suv,Avante (CN7 N),2023-09-19,53760000,현금,2,오프라인,27,2020-05,6
이성현,1974-04-23,남,054-902-5788,minjunhan@jusighoesa.com,울산광역시 남구 달동 23-5,lgang,2023-02-04,중형 suv,G70 (IK),2023-05-22,57450000,현금,1,온라인,51,2017-09,6
박주원,1956-02-25,남,02-1448-5380,ugim@munio.net,인천광역시 남동구 구월동 88-10,coehyeonji,2023-12-19,픽업트럭,Santa-Fe ™,2024-11-28,75020000,현금,5,오프라인,69,2018-01,3
김민석,1980-04-09,여,031-673-1720,lgim@yuhanhoesa.net,경기도 수원시 영통구 원천동 12-34,hongjiweon,2023-02-20,대형 suv,Santa-Fe ™,2024-06-03,68050000,현금,2,오프라인,45,2018-01,7
조영순,1980-12-19,여,032-871-9659,jaeho07@yu.com,울산광역시 남구 달동 23-5,jihyeon92,2023-02-22,중형 suv,Santa-Fe ™,2025-02-13,89190000,현금,2,오프라인,45,2018-01,7
김옥자,1967-03-24,여,010-0631-9882,jeongsu99@yuhanhoesa.com,대전광역시 유성구 봉명동 44-2,yunseosong,2022-12-03,중형 suv,Avante (CN7 N),2023-04-05,88480000,카드,1,온라인,58,2020-05,4
