이름 (Name),생년월일 (Date of Birth),연령,성별 (Gender),휴대폰번호 (Phone Number),이메일 (Email),주소 (Address),아이디 (User ID),가입일 (Registration Date),고객 세그먼트 (Customer Segment),차량구분(vehicle types),구매한 제품 (Purchased Product),제품 구매 날짜 (Purchase Date),거래 금액 (Transaction Amount),거래 방식 (Transaction Method),제품 구매 빈도 (Purchase Frequency),제품 구매 경로 (Purchase Path),제품 출시년월 (Launch Date),Cluster
강주온,2002-03-04,23,남,010-6502-8753,janisi@himedia.co.kr,인천광역시 남동구 구월동 88-10,14798,2023-04-01,일반,준중형 세단,Avante (CN7 N),2024-04-04,35170000,카드,1,오프라인,2020-05,2
김경수,1983-01-02,42,남,010-1111-2222,kimkyoungsoo31@himedia.co.kr,광주광역시 서구 치평동 14-7,kyoungsoo031,2025-02-09,vip,준대형 세단,G80 (RG3),2025-02-10,85790000,카드,5,오프라인,2020-03,0
김다은,1999-05-02,26,여,010-6789-0123,kimdaeun26@himedia.co.kr,부산광역시 해운대구 우동 101-12,daeun026,2025-02-28,신규,중형 suv,NEXO (FE),2025-03-10,69500000,현금,1,오프라인,2018-01,3
김민수,1960-07-01,65,남,010-1234-5678,kimminsu1@himedia.co.kr,전라남도 목포시 부주동 77-8,minsu001,2023-04-28,일반, 중형 suv,Santa-Fe ™,2023-05-01,34920000,현금,1,오프라인,2018-01,4
김승현,1970-03-02,55,남,010-0123-4567,kimseunghyun20@himedia.co.kr,경기도 수원시 영통구 원천동 12-34,seunghyun020,2023-09-18,이탈가능,중형 세단,G70 (IK),2023-10-01,50230000,카드,1,오프라인,2017-09,4
김영철,1959-08-03,66,남,010-6789-0123,kimyoungcheol6@himedia.co.kr,울산광역시 남구 달동 23-5,youngcheol006,2023-02-01,일반,중형 세단,G70 (IK),2023-02-01,50230000,카드,1,오프라인,2017-09,4
김윤희,1998-01-02,27,여,010-2345-6789,leesujin2@himedia.co.kr,경기도 수원시 영통구 원천동 12-34,sujin002,2023-07-11,일반,준중형 해치백,IONIQ (AE EV),2023-07-18,44400000,카드,1,온라인,2016-01,2
김재원,1976-01-06,49,남,010-1234-5678,kimjaewon40@himedia.co.kr,서울특별시 종로구 청운동 67-89,jaewon040,2025-12-01,신규,준중형 세단,Avante (CN7 HEV),2025-12-01,27830000,카드,1,오프라인,2020-07,2
김진수,1980-04-06,45,남,010-6789-9876,kimjinsu35@himedia.co.kr,인천광역시 남동구 구월동 88-10,jinsu035,2023-01-01,일반,준중형 해치백,IONIQ (AE EV),2023-01-03,44400000,카드,1,오프라인,2016-01,2
박민정,1977-08-05,48,여,010-8901-2345,parkminjeong8@himedia.co.kr,서울특별시 종로구 청운동 67-89,minjeong008,2024-04-01,신규, 중형 세단,IONIQ 6 (CE),2024-04-06,61820000,카드,1,오프라인,2022-06,4
